Name,Office,Address,Telephone,,,,
INESONS,HO,Provincial HouseBD19 3JG,01274 872202,operations@sra.org.uk, 01274 869652,,51699
INFIELDS,HO,1 Old Bridge StreetKT1 4BU,020 8977 1149,law@infields.co.uk, 020 8977 9962, http//www.Infields.co.uk,51700
INGHAMS,HO,4-8 Leopold GroveFY1 4JR,01253 626642,info@inghams-law.co.uk, 01253 295590, http//www.inghams-law.co.uk,76362
INGHAMS,BRN,32-38 North Albert StreetFY7 6AW,01253 873481,info@inghams-law.co.uk, 01253 772322, http//www.inghams-law.co.uk,76363
INGHAMS,BRN,8 Crescent EastFY5 3LW,01253 824111,info@inghams-law.co.uk, 01253 827747, http//www.inghams-law.co.uk,76366
INGHAMS,BRN,12 Queens SquareFY6 7BN,01253 890545,info@inghams-law.co.uk, 01253 893171, http//www.inghams-law.co.uk,76367
INGHAMS,BRN,18 Lancaster RoadFY6 0AR,01253 810547,info@inghams-law.co.uk, 01253 812421, http//www.inghams-law.co.uk,76368
INGHAMS,BRN,37 Red Bank RoadFY2 9HX,01253 353308,info@inghams-law.co.uk, 01253 356380, http//www.inghams-law.co.uk,282586
INGRAM WINTER GREEN,HO,Bedford HouseWC1N 2BF,020 7845 7400,info@iwg.co.uk, 020 7845 7401, http//www.iwg.co.uk,78010
INGRAMS,HO,Estuary Business ParkHU4 7DY,01482 358850,enquiries@ingramssolicitors.co.uk, 01482 353937, http//www.ingramssolicitors.co.uk,344311
INGRAMS,BRN,10 Great North WayYO26 6RB,01904 520600,enquiries@ingramssolicitors.co.uk, 01904 520 630, http//www.ingramssolicitors.co.uk,344313
INJURY SPECIALISTS SOLICITORS LIMITED,HO,Sheraton HouseUB8 2UB,01895 207150,info@isslaw.co.uk, 01895 207160, http//www.isslaw.co.uk,446912
INNSTEP (NOMINEES) LIMITED,HO,1 Park RowLS1 5AB,0113 244 5000,operations@sra.org.uk, 0113 244 8000, http//www.pinsentmasons.com,203686
INSLEY & PARTNERS,HO,225 Charminster RoadBH8 9QL,01202 510167,operations@sra.org.uk, 01202 530529, http//www.insleyandpartners.com,51723
INSLEY & PARTNERS,BRN,66 Victoria RoadBH22 9JA,01202 876117,operations@sra.org.uk, 01202 895998,,51724
INSPIRE LAW SOLICITORS,HO,Mercia HouseOX16 9AB,01295 298211,malcolm@inspirelaw.co.uk, 01295 298212, http//www.inspirelaw.co.uk,462726
INTEGRITY LEGAL LLP,HO,Park HouseCH1 4QN,0871 871 0286,suzannejervis@integritylaw.co.uk, 0871 871 0287, http//www.integritylaw.co.uk,421479
INVERESK HOUSE NOMINEES LTD,HO,Steynings HouseSP2 7RJ,,operations@sra.org.uk,,,80054
IRENA SPENCE & CO,HO,68-70 Castle StreetCB3 0AJ,01223 713300,mail@irenaspence.co.uk, 01223 509237, http//www.irenaspencesolicitors.co.uk,270935
IRONMONGER CURTIS LLP,HO,233 Edmund RoadS2 4EL,0845 225 2635,info@ironmongercurtis.com, 0114 272 1727, http//www.ironmongercurtis.com,417712
IRVINE AND PARTNERS,HO,8-9 Hayne StreetEC1A 9HH,+44 (0)20 3176 0300,operations@sra.org.uk, +44 (0) 20 3176 0301, http//www.irvineandpartners.co.uk,448367
IRVING M SHAPIRO,HO,New Maxdov HouseM25 0AA,0161 798 8832,irving@irvingmshapiro.co.uk, 0161 798 9251,,79413
IRVINGS,HO,Scottish Provident HouseHA1 1BQ,020 8427 6600,solicitor@irvings.co.uk, 020 8427 4225, http//www.irvings.co.uk,55600
IRVINGS SOLICITORS,BRN,10 Iron GateDE1 3FJ,01332 346036,apicken@irvsol.co.uk, 01332 297337, http//www.irvsol.co.uk,261478
IRWIN MITCHELL LLP,HO,Riverside EastS3 8DT,0870 1500 100,enquiries@irwinmitchell.com, 0114 275 827, http//www.irwinmitchell.com,509694
IRWIN MITCHELL LLP,BRN,Imperial HouseB2 5DB,0870 1500 100,enquiries@irwinmitchell.com, 0121 212 2265, http//www.irwinmitchell.com,511872
IRWIN MITCHELL LLP,BRN,2 Wellington PlaceLS1 4BZ,0870 1500 100,enquiries@irwinmitchell.com, 0113 234 3322, http//www.irwinmitchell.com,511873
IRWIN MITCHELL LLP,BRN,40 Holborn ViaductEC1N 2PZ,0870 1500 100,enquiries@irwinmitchell.com, 0207 242 5976, http//www.irwinmitchell.com,511877
IRWIN MITCHELL LLP,BRN,Gainsborough HouseNE1 6AE,0870 1500 100,enquiries@irwinmitchell.com, 0191 230 2487, http//www.irwinmitchell.com,511878
IRWIN MITCHELL LLP,BRN,BauhausM3 4AW,0870 1500 100,enquiries@irwinmitchell.com, 0161 839 9804, http//www.irwinmitchell.com,511881
ISADORE GOLDMAN,HO,12 Bridewell PlaceEC4V 6AP,020 7353 1000,operations@sra.org.uk, 020 7353 9055,,48084
ISMAIL & CO,HO,Herewood HouseEN1 1TR,020 8804 1065,info@ismailco.co.uk, 020 8804 1199, http//www.ismailco.co.uk,176381
ISON HARRISON,HO,Duke HouseLS1 2EE,0113 284 5000,mail@isonharrison.co.uk, 0113 284 5040, http//www.isonharrison.co.uk,50741
ISON HARRISON,BRN,29 Main StreetLS25 1DS,0113 286 1455,mail@isonharrison.co.uk, 0113 287 3014, http//www.isonharrison.co.uk,50748
ISON HARRISON,BRN,48 Austhorpe RoadLS15 8DX,0113 232 6530,mail@isonharrison.co.uk, 0113 232 1500, http//www.isonharrison.co.uk,202851
ISON HARRISON LIMITED,HO,Duke HouseLS1 2EE,0113 284 5000,mail@isonharrison.co.uk, 0113 284 5080, http//www.isonharrison.co.uk,484936
ISRAEL STRANGE & CONLON,HO,384 City RoadEC1V 2QA,020 7833 8453,operations@sra.org.uk, 020 7833 8454,,61454
J & P CREDIT SOLUTIONS LIMITED,HO,Justin HouseBR1 1JN,0208 290 7318,jmonk@judge-priestley.co.uk, 0208 464 3332, http//www.jpcreditsolutions.co.uk,524771
J B JARVIS,HO,63 Main StreetNG20 8AN,01623 747 400,solicitors@jbjarvis.com, 01623 747 400,,364210
J B LEITCH & CO LLP,HO,71/72 Tradewind SquareL1 5BG,0151 708 2250,m.leitch@jbleitch.co.uk, 0151 708 2251, http//www.jbleitch.co.uk,498403
J E BARING & CO,HO,First FloorEC1N 8LE,020 7242 8966,operations@sra.org.uk, 020 7404 5316,,46559
J E KENNEDY & CO,HO,59-61 High StreetHA1 3HT,020 8864 3056,operations@sra.org.uk, 020 8864 4900,,54054
J E SALE LIMITED,HO,20 Church GateLE11 1UD,01509 232611,john.sale@birdwilfordsale.co.uk, 01509 239081, http//www.birdwilfordsale.co.uk,487812
J E STEVENSON,HO,Regent HouseW1H 5YN,020 7725 7031,operations@sra.org.uk, 020 7725 7032,,518558
J GARRARD & ALLEN,HO,4 High StreetMK46 4BB,01234 711215,enquiries@jgalaw.co.uk, 01234 713391, http//www.jgalaw.co.uk,47796
J H GABB & CO SOLICITORS,HO,The Flour RoomGL55 6DZ,01386 840 483,info@jhgabb.com, 01386 841 281, http//www.jhgabb.com,422505
J H POWELL & CO,HO,Cathedral ChambersDE1 3GT,01332 372211,mail@jhpowell.co.uk, 01332 290413, http//www.jhpowell.co.uk,57726
J K HUGO LIMITED,HO,The Red HouseTN13 1JL,01732 459 931,kfsols@knocker-foskett.co.uk, 01732 459 246, http//www.knocker-foskett.co.uk,521839
J KEITH PARK SOLICITORS,HO,Barrow HouseWA10 1RX,01744 636000,nickhale@kpsolicitors.com, 01744 27071, http//www.keithparksolicitors.com,58960
J M SKINNER & CO,HO,2 Mortimer StreetCH41 5EU,0151 666 1122,law@jmskinner.co.uk, 0151 666 1313, http//www.jmskinner.co.uk,331188
J R CHAMPKIN LLB SOLICITOR,HO,Little Moat HouseWR11 8UT,01386 871 287,jamie@champkin.co.uk, 01386 871885,,368722
J R JONES,HO,58 Uxbridge RoadW5 2ST,020 8566 2595,solicitors@jrjones.co.uk, 020 8579 4288, http//www.jrjones.co.uk,52103
J ROSTRON,HO,1 Hartley CrescentPR8 4SG,01704 568432,j.rostron@tiscali.co.uk, 01704 568432,,463832
J S WINNY & CO,HO,Corvedale RoadSY7 9NE,01588 672345,operations@sra.org.uk, 01588 672 576,,59836
J.P. FLETCHER & CO,HO,8 Newburgh StreetW1F 7RJ,020 7494 4700,info@jpflaw.com, 020 7494 4702,,346330
J.P. KARSENTY ET ASSOCIES,HO,100 Fetter LaneEC4A 1ES,,pricard@jpkarsenty.com,, http//www.jpkarsenty.com,381793
JACK FRIEND & CO,HO,11 Sudbury Hill CloseHA0 2QR,0208 904 4281,operations@sra.org.uk, 0208 908 5715,,305639
JACKAMAN SMITH & MULLEY,HO,7 Northgate StreetIP1 3BX,01473 255591,krystyna.smithers@jsm.co.uk, 01473 230796, http//www.jsm.co.uk,52886
JACKAMAN SMITH & MULLEY,BRN,Ancient HouseIP20 9AS,,operations@sra.org.uk,,,498756
JACKSON & CANTER LLP,HO,88 Church StreetL1 3HD,0151 282 1700,aholroyd@jacksoncanter.co.uk, 0151 282 1715, http//www.jacksoncanter.co.uk,511448
JACKSON & CANTER LLP,BRN,32 Princes RoadL8 1TH,0151 282 1732,aholroyd@jacksoncantwell.co.uk, 0151 282 1735, http//www.jacksoncanter.co.uk,512779
JACKSON PARTON,HO,4th FloorE1 8DE,020 7702 0085,mail@jacksonparton.com, 020 7702 0858, http//www.jacksonparton.com,75273
JACKSON QUINN,HO,38 Potter StreetS80 2AQ,01909 480066,admin@jacksonquinn.com, 01909 501033, http//www.jacksonquinn.com,60159
JACKSON QUINN,BRN,7 Grove StreetDN22 6NN,01777 703111,admin@jacksonquinn.com, 01777 704111, http//www.jacksonquinn.com,60162
JACKSON QUINN,BRN,Ground FloorNG1 7FG,0115 948 7811,admin@jacksonquinn.com, 0115 948 7812, http//www.jacksonquinn.com,422227
JACKSON QUINN,BRN,2nd FloorNG24 1AB,01636 610175,admin@jacksonquinn.com, 01636 704923, http//www.jacksonquinn.com,463104
JACKSONS,HO,5 Provost StreetSP6 1AZ,01425 652110,rge@fordingbridgesolicitors.co.uk, 01425 654606, http//www.fordingbridgesolicitors.co.uk,51810
JACKSONS COMMERCIAL & PRIVATE LAW LLP,HO,Innovation HouseTS18 3TN,01642 356 500,info@jacksons-law.com, 01642 356 501, http//www.jacksons-law.com,517634
JACKSONS COMMERCIAL & PRIVATE LAW LLP,BRN,Central SquareNE1 3PJ,0191 580 0183,info@jacksons-law.com, 0191 231 3921, http//www.jacksons-law.com,533709
JACKSONS SOLICITORS,HO,2nd FloorEC4V 6AL,0203 058 0512,nigel@jacksonlegal.com, 0207 353 3691,,302721
JACOB FORBES SOLICITORS LIMITED,HO,Unit 341  Lee Valley TechnoparN17 9LN,020 8880 4154,info@jacobforbes.com, 020 8880 4157, http//www.jacobforbes.com,448698
JACOBS & REEVES,HO,153 High StreetBH15 1AU,01202 674425,office@jacobsreeves.co.uk, 01202 681167, http//www.jacobsreeves.co.uk,51817
JACOBS ALLEN HAMMOND,HO,30 St. George StreetW1S 2FH,020 7514  3900,info@jahlaw.co.uk, 020 7514  3901, http//www.jahlaw.co.uk,383650
JACOBSENS,HO,Hamilton HouseEC4Y 0HA,0845 895 1015,colin.sturge@jacobsens.co.uk, 0845 895 1016, http//www.jacobsens.co.uk,51821
JAFFE PORTER CROSSICK LLP,HO,Omni HouseNW6 4BT,020 7625 4424,enquiries@jpclaw.co.uk, 020 7328 5840, http//www.jpclaw.co.uk,471111
JAMES & BECKETT,HO,3-9 Station StreetME10 3DU,01795 421663,enquires@jamesandbeckett.co.uk, 01795 478851, http//www.jamesandbeckett.co.uk,73497
JAMES CHAN & CO,HO,First FloorEC4A 2AB,0844 848 9988,law@chanlegal.com, 0844 991 1189, http//www.chanlegal.com,80004
JAMES LEGAL LIMITED,HO,The Deep Business CentreHU1 4BG,+44 (0)1482 488 000,operations@sra.org.uk, +44 (0)1482 488 004, http//www.jameslegal.co.uk,510398
JAMES M R DEBENHAM,HO,East Farm HouseDT2 7HH,01929 471 060,office@jamesmrdebenham.f2s.com, 01929 471 921,,78763
JAMES PEARCE & CO LTD,HO,James Pearce HouseB43 7HH,0121 360 1300,john-james@btconnect.com, 0121 360 3800, http//www.jamespearce.co.uk,439713
JAMES PEARCE & CO LTD,BRN,34a Walmley RoadB76 1QN,0121 351 5575,operations@sra.org.uk, 0121 351 4222,,439963
JAMES PEARCE & CO LTD,BRN,606 Bromford LaneB8 2DP,0121 784 1886,operations@sra.org.uk, 0121 783 6466,,439969
JAMES PEARCE & CO LTD,BRN,9 York RoadB23 6TE,,operations@sra.org.uk,,,473433
JAMES PETERS & CO,HO,Kendal HouseS3 7BS,0114 278 8900,info@jamespeters.co.uk, 0114 275 6462,,365252
JAMES S BARNETT,HO,The PavilionRG17 9TU,01488 658 461,jsb@snowdonbarnett.com, 01488 657 594,,63466
JAMES SOLICITORS,HO,3rd FloorSE18 6PF,0208 855 5954,info@jamessolicitors.co.uk, 0208 855 7462, http//www.jamessolicitors.co.uk,462981
JAMESON & HILL,BRN,60-62 High StreetSG12 9DA,01920 460531,rj@jailforest.co.uk, 01920 465142, http//www.jamesonandhill.co.uk,51887
JANE LILES SOLICITORS,HO,96 Dorchester WayHA3 9RB,0208 248 0301,jane@janelileslaw.com, 0208 2046 730, http//www.janelileslaw.com,487419
JANE LITHERLAND,BRN,Heatherfield HouseS32 1DA,01433 659990,janelitherland@hathersagehall.fsnet.co.uk, 01433 659995,,304548
JANE MONKS,BRN,Church HouseM3 2QH,0161 839 0092,md@mandioreg.co.uk, 0161 839 0093,,421441
JANE SECRETARIAL SERVICES LIMITED,HO,Kinnaird HouseSW1Y 5AU,020 766 5600,operations@sra.org.uk, 0207 766 5675, http//www.ttuk.com,421464
JANE V WILKINSON,HO,Wrekin HouseDT11 0EN,01258 817719,operations@sra.org.uk, 01258 817719,,75912
JARMANS SOLICITORS,HO,Bell HouseME10 4DH,01795 472291,enquiries@jarmans-solicitors.co.uk, 01795 425411, http//www.jarmans-solicitors.co.uk,70628
JASWAL JOHNSTON LLP,HO,51 Welbeck StreetW1A 4UA,0207 317 1540,info@jjlaw.co.uk, 0207 835 5969, http//www.jjlaw.co.uk,494992
JAY VADHER & CO,HO,Victoria HouseE15 4JF,020 8519 3000,r.vadher@jayvadher.co.uk, 020 8519 3300,,190648
JB LAW LIMITED,HO,30 Park Cross StreetLS1 2QH,+ 44 (0) 113 200 2000,info@jbllaw.co.uk, + 44 (0)113 200 2001, http//www.jbllaw.co.uk,517836
JBL BUSINESS SUPPORT LAWYERS LIMITED,HO,30 Park Cross StreetLS1 2QH,+44 (0)113 200 2000,operations@sra.org.uk, +44 (0)113 200 2001, http//www.jbllaw.co.uk,517830
JBS SOLICITORS,HO,Junction HouseBR3 1SD,0845 643 5050,keith.jones@jbslaw.co.uk, 0845 643 5100, http//www.jbslaw.co.uk,348999
JEFFERIES ESSEX LLP,HO,Courtway HouseSS0 7EW,01702 332311,operations@sra.org.uk, 01702 332807, http//www.essexlaw.co.uk,440544
JEFFREY GREEN RUSSELL,HO,Waverley HouseW1F 8GQ,020 7339 7000,operations@sra.org.uk, 020 7339 7001, http//www.jgrweb.com,50149
JEH,HO,Fleet HouseEC4V 6AL,+44 (0) 20 7583 8853,jeh@humelaw.com, +44 (0) 20 7583 8852,,364700
JENNINGS IP AND MEDIA SOLICITORS,HO,Lodge FarmTN15 0NE,01732 762340,peter.jennings@jenningsipandmedialaw.co.uk, 01732 762055, http//www.jenningsipandmedialaw.co.uk,516687
JENS HILLS SOLICITORS LLP,HO,Northburgh HouseEC1V 0AT,020 7490 8160,operations@sra.org.uk, 020 7490 8140,,482887
JEREMY MAROZZI & CO,HO,12 Merton Park ParadeSW19 3NT,0208 544 2800,jmts@jmtsolicitors.co.uk, 0208 544 2801, http//www.jmtsolicitors.co.uk,424443
JEREMY SIMON & CO,HO,72a St. Marys RoadWD18 0WQ,01923 219 292,jeremysimon@btconnect.com, 01923 219 293,,79061
JEREMY WOOD & CO,HO,1A Princes StreetBA20 1EN,01935 426 047,tanya.h@jeremywood.co.uk, 01935 427 890, http//www.jeremywood.co.uk,408225
JEROME & CO SOLICITORS LIMITED,HO,98 High StreetPO30 1BD,01983 522664,clivewiggins@jeromelaw.co.uk, 01983 527424, http//www.jeromelaw.co.uk,472197
JEROME & CO SOLICITORS LIMITED,BRN,Steephill ChambersPO37 6AB,01983 862643,karenhoward@jeromelaw.co.uk, 01983 867126, http//www.jeromelaw.co.uk,472198
JEROME & CO SOLICITORS LIMITED,BRN,11 High StreetPO36 8DA,01983 402026,jeanettecousins@jeromelaw.co.uk, 01983 407490, http//www.jeromelaw.co.uk,472199
JGE SOLICITORS,HO,Unit W/41N17 9TA,0208 885 6477,operations@sra.org.uk, 0208 885 1424, http//www.jgesolicitors.co.uk,488642
JIVA SOLICITORS LLP,HO,16-17 Little Portland StreetW1W 8HH,0207 290 0400,operations@sra.org.uk, 0207 290 0450, http//www.jivasolicitors.co.uk,509702
JK WALMSLEY,HO,10 Grove RoadHA8 7NW,020 8952 0211,john@jkwlaw.com,, http//www.jkwlaw.com,442359
JMA HR & LEGAL LIMITED,HO,Flat 2  Keep HouseGU9 7JB,075401 706 135,joanna@jma-hrlegal.co.uk,, http//www.jma-hrlegal.co.uk,515054
JMW SOLICITORS LLP,HO,1 Byrom PlaceM3 3HG,0845 402 0001,enquiries@jmw.co.uk, 0161 828 1827, http//www.jmw.co.uk,508380
JOBLING & KNAPE,HO,5 Aalborg SquareLA1 1GG,01524 598300,mail@joblingandknape.com, 01524 598339, http//www.joblingandknape.com,51995
JOBLING & KNAPE,BRN,Town ViewPR3 0ZL,01995 670083,mail@joblingandknape.com, 01995 671313, http//www.joblingandknape.com,51998
JOBLING & KNAPE,BRN,19 Northumberland StreetLA4 4AZ,01524 416960,mail@joblingandknape.com, 01524 402515, http//www.joblingandknape.com,51999
JOE EGAN SOLICITORS,HO,13 Mawdsley StreetBL1 1JZ,01204 386214,info@joeegansolicitors.co.uk, 01204 370350, http//www.joeegansolicitors.co.uk,63300
JOELSON WILSON LLP,HO,30 Portland PlaceW1B 1LZ,020 7580 5721,info@joelsonwilson.com, 020 7580 2251, http//www.joelsonwilson.com,509649
JOHAR & CO,HO,66 London RoadLE2 0QD,0116 254 3345,deepakjohar@johars.com, 0116 254 2370,,52001
JOHN A NEIL,HO,Newminster HouseBS1 1LT,0117 925 8800,post@johnaneil.co.uk, 0117 925 7788, http//www.johnaneil.co.uk,71724
JOHN BARKERS,HO,9-11 Old Market PlaceDN31 1JN,01472 358686,rjr@jbarkers.co.uk, 01472 240890, http//www.jbarkers.co.uk,46578
JOHN BYRNE & CO,HO,Sheraton HouseCB3 0AX,01223 370063,jb@johnbyrne.co.uk, 01223 307 277,,63403
JOHN CODLING,HO,GrubbinsHP27 0SE,01494 488720,john.codling@virgin.net, 01494 488765,,69742
JOHN COPLAND & SON,HO,77 High StreetME12 1TY,01795 664431,Jcoplands@aol.com, 01795 580474,,45488
JOHN F S CABOT,HO,Unit 9  27 Ackmar RoadSW6 4UR,0207 3849 583,john@jfscabot.eclipse.co.uk, 0207 3849 587,,307944
JOHN FORD SOLICITORS,HO,3a Blackstock RoadN4 2JF,020 8800 6464,admin@johnfordsolicitors.co.uk, 020 8800 6066, http//www.johnfordsolicitors.co.uk,324802
JOHN FOWLERS LLP,HO,Town Hall ChambersCO1 1DS,01206 576151,info@johnfowlers.co.uk, 01206 761916, http//www.johnfowlers.co.uk,472819
JOHN FOWLERS LLP,BRN,12 Victoria PlaceCO7 0BX,01206 302694,info@johnfowlers.co.uk, 01206 302961, http//www.johnfowlers.co.uk,472821
JOHN GAUNT & PARTNERS,HO,Omega CourtS11 8FT,0114 266 8664,post@john-gaunt.co.uk, 0114 266 0101, http//www.john-gaunt.co.uk,173393
JOHN HODGE SOLICITORS,HO,10/11  Morston CourtBS22 8NG,01934 410910,mailbox@johnhodge.co.uk, 01934 418210, http//www.johnhodge.co.uk,51297
JOHN HODGE SOLICITORS,BRN,14 Kenn RoadBS21 6EL,01275 874213,Karen.elliott@johnhodge.co.uk, 01275 340063, http//www.johnhodge.co.uk,51298
JOHN HODGE SOLICITORS,BRN,50 High StreetBS49 4HJ,01934 833208,chris.cole@johnhodge.co.uk, 01934 876261, http//www.johnhodge.co.uk,51300
JOHN HODGE SOLICITORS,BRN,Cheddar RoadBS28 4EH,01934 712431,mailbox@johnhodge.co.uk, 01934 713424, http//www.johnhodge.co.uk,51301
JOHN HODGE SOLICITORS,BRN,9 Queen SquareBS1 4JE,0117 929 2281,mailbox@johnhodge.co.uk, 0117 927 7595, http//www.johnhodge.co.uk,51302
JOHN HODGE SOLICITORS,BRN,Tivoli HouseBS23 1PD,01934 425 999,mailbox@johnhodge.co.uk, 01934 418 114, http//www.johnhodge.co.uk,473693
JOHN HOWE & CO,HO,Co-operative ChambersLS28 7BH,0113 236 3936,operations@sra.org.uk, 0113 257 9891, http//www.jhowe.co.uk,78412
JOHN LENG & CO,HO,11 High StreetYO16 4PR,01262 609110,operations@sra.org.uk, 01262 609696,,327895
JOHN PARTRIDGE SOLICITOR,HO,102 Magnet LaneCV22 7NJ,01788 335611,jp@jpsolicitor.co.uk, 01788 335612,,287563
JOHN POYSER SOLICITORS,HO,5a High LaneM21 9DJ,0161 860 7354,mail@johnpoyser.co.uk, 0161-862 9580,,426416
JOHN POYSER SOLICITORS,BRN,77 Church StreetOL15 8AB,01706 375698,operations@sra.org.uk, 01706 376337,,497717
JOHN STALLARD & CO,HO,3 Pierpoint StreetWR1 1TD,01905 613404,co@stallards.com, 01905 25772, http//www.stallards.com,55713
JOHN STALLARD & CO,BRN,19 Foregate StreetWR1 1DN,01905 613404,e-mail@stallards.com, 01905 25772,,55714
JOHN STREET SOLICITORS,HO,Ground FloorWC1N 2BP,020 7831 0968,rajan@johnstreetsolicitors.com, 020 7831 1550, http//www.johnstreetsolicitors.com,401345
JOHN SUMNER SOLICITOR LIMITED,HO,Six WaysB24 8AA,0121 377 7773,operations@sra.org.uk, 0121 377 6621,,441788
JOHN WELCH & STAMMERS,HO,24 Church GreenOX28 4AT,01993 703941,enquiries@johnwelchandstammers.co.uk, 01993 776071, http//www.johnwelchandstammers.co.uk,57468
JOHN WESTON & CO,HO,10 Victoria StreetIP11 7ER,01394 282527,info@johnweston.co.uk, 01394 276097, http//www.johnweston.co.uk,201000
JOHNS & SAGGAR,HO,233a Kentish Town RoadNW5 2JT,020 7267 6744,info@johnsandsaggar.co.uk, 020 7284 2355, http//www.johnsandsaggar.co.uk.,74820
JOHNS GILBERT & FRANKTON,HO,3 Regent PlaceCV21 2PJ,01788 576384,enquiries@jgfsolicitors.co.uk, 01788 540237, http//www.jgfsolicitors.co.uk,69870
JOHNSONS SOLICITORS  LLP,HO,Citygate Business CentreRG1 2QW,01189 227220,operations@sra.org.uk, 01189 227299,,404082
JOLLIFFE & CO,HO,Exchange HouseCH1 1DP,01244 310022,law@jolliffes.com, 01244 345628, http//www.jolliffes.com,52042
JONAS ROY BLOOM,HO,The CitadelB4 6QD,0121 212 4111,info@jonasroybloom.co.uk, 0121 212 1770, http//www.jonasroybloom.co.uk,331938
JONATHAN B LEITCH LIMITED,HO,71/72 Tradewind SquareL1 5BG,0151 708 2250,m.leitch@jbleitch.co.uk, 0151 708 2251, http//www.jbleitch.co.uk,498140
JONATHAN GOODWIN SOLICITOR ADVOCATE,HO,Unit 17 Telford CourtCH1 6LT,01244 853 120,operations@sra.org.uk, 01244 853 125,,386031
JONATHAN OGLEY AND ASSOCIATES,HO,14 Juniper CloseEX4 9JT,01392 462282,operations@sra.org.uk, 01392 464739,,447657
JONES DAY,HO,21 Tudor StreetEC4Y 0DJ,020 7039 5959,operations@sra.org.uk, 020 7039 5999, http//www.jonesday.com,223597
JONES ROBERTSON,HO,5 Rutland HouseWA7 2ES,01928 711119,northwich@jrlaw.co.uk, 01928 711801,,63251
JONES ROBERTSON,BRN,131 Albert RoadWA8 6LF,0151 423 3661,operations@sra.org.uk, 0151 495 2590,,63253
JONES ROBERTSON,BRN,27a High StreetCW9 5BY,01606 331188,operations@sra.org.uk, 01606 330099,,63254
JONES ROBERTSON,BRN,1 Frederick StreetWA8 6PF,,operations@sra.org.uk,,,497297
JORDANS,HO,Neil Jordan HouseWF13 1HL,01924 457171,operations@sra.org.uk, 01924 456131, http//www.jordanssolicitors.co.uk,62815
JORDANS,BRN,The GrainstoreWF1 2SG,01924 387110,operations@sra.org.uk, 01924 387112,,210465
JOSEPH ACKERMAN,HO,113 Brent StreetNW4 2DX,020 8203 2288,operations@sra.org.uk, 020 8203 2951,,45939
JOSEPH N BELL,HO,The MallingsBN7 2RJ,01273 400088,josephnbell@lawyersonline.co.uk, 01273 400088,,300139
JOSIAH HINCKS SOLICITORS,HO,The ManseLE1 7GB,0116 255 1811,info@josiahhincks.co.uk, 0116 254 4870, http//www.josiahhincks.co.uk,51244
JOSIAH HINCKS SOLICITORS,BRN,Belvoir RoadLE67 3PD,01530 835041,operations@sra.org.uk, 01530 811778,,288134
JOSIAH HINCKS SOLICITORS,BRN,33 Leicester RoadLE8 4GR,0116 2643430,info@josiahhinks.co.uk, 0116 2787269, http//www.josiahhincks.co.uk,465517
JST LAWYERS,HO,Colonial ChambersL2 5RH,0151 282 2828,info@jstlaw.co.uk, 0151 282 2848, http//www.jstlawyers.co.uk,283813
JUDGE AND PRIESTLEY LIMITED LIABILITY PARTNERSHIP,HO,Justin HouseBR1 1JN,020 8290 0333,info@judge-priestley.co.uk, 020 8464 3332, http//www.judge-priestley.co.uk,420714
JUDGE SYKES FRIXOU,HO,7th FloorWC2B 6YF,0207 379 5114,info@jsf-law.co.uk, 0207 836 4974, http//www.judgesykesfrixou.com,52186
JUDITH M LONG SOLICITORS,HO,76 Empire Square EastSE1 4NB,020 7403 3337,judithmlong@msn.com, 020 7407 1982, http//www.judithmlongsolicitors.co.uk,266093
JUDITH MAURICE SOLICITORS,HO,Unit 59N17 9TA,0208 808 8018,judithmaurice_solicitors@yahoo.co.uk, 0208 365 1869,,496825
JULIAN DOBSON,HO,1 Frederick TerraceBN1 1AX,01273 766355,jcd@juliandobson.com, 01273 766350, http//www.juliandobson.com,330207
JULIAN JAMES,HO,101 Bartholomew RoadNW5 2AR,020 7448 5200,operations@sra.org.uk, 020 7448 5141,,280351
JULIE WOOLLEY LIMITED,HO,10-11 St. James' CourtDE1 1BT,01332 254 168,info@robinsons-solicitors.co.uk, 01332 254 174, http//www.robinsons-solicitors.co.uk,521837
JULIET BELLIS & CO,HO,Isfield PlaceTN22 5XR,01825 750811,jmb@julietbellis.co.uk, 01825 750703,,304432
JULIUS CEASAR SOLICITORS,HO,174 Old Kent RoadSE1 5TY,0207 708 8888,enquiries@juliusceasarsolicitors.co.uk, 0207 708 8881, http//www.juliusceasarsolicitors.co.uk,401450
JUSPROWESS SOLICITORS,HO,162D High StreetTW3 1BQ,0208 814 0208,sjayanthi@jusprowess.com, 0208 814 0187, http//www.jusprowess.com,473349
JUST COSTS LIMITED,HO,Trident OneM22 5XB,0161 435 6069,paulshenton@justcosts.com, 0161 435 6175, http//www.justcosts.com,444013
JUST COSTS LIMITED,BRN,The MWB Business Exchange CentWC2B 6AA,0207 841 2860,operations@sra.org.uk, 0207 841 1096, http//www.justcosts.com,484538
JUST COSTS LIMITED,BRN,Dunston Innovation CentreS41 8NG,01246 267960,operations@sra.org.uk, 01246 267965, http//www.justcosts.com,484584
JUST EMPLOYMENT LIMITED,HO,St. Marys ChambersGU1 3UA,01483 303 636,info@justemployment.com, 01483 459 850, http//www.justemployment.com,520353
JUST EMPLOYMENT LIMITED,BRN,The Adur Business CentreBN43 5EG,01273 467 577,paul.henrion@justemployment.com,, http//www.justemployment.com,523276
