Name,Office,Address,Telephone,,,,,
DAVID PHILLIPS & PARTNERS,HO,202 Stanley RoadL20 3EP,0151 922 5525,,info@dpp-law.com, 0151 922 8298,: http://www.dpp-law.com,73353
DAVID PHILLIPS & PARTNERS,BRN,268 Stanley RoadL20 3ER,0151 933 5525,,info@dpp-law.com, 0151 922 3784,: http://www.dpp-law.com,73355
DAVID PHILLIPS & PARTNERS,BRN,72 Wimpole StreetW1G 9RP,020 7486 5525,,info@dpp-law.com, 020 7486 5526,: http://www.dpp-law.com,193361
DAVID PHILLIPS & PARTNERS,BRN,Second FloorL2 0NB,0151 236 3331,,info@dpp-law.com, 0151 236 4447,: http://www.dpp-law.com,303430
DAVID PHILLIPS & PARTNERS,BRN,319a High RoadRM6 6AX,020 8597 5557,,info@dpp-law.com, 020 8599 3435,: http://www.dpp-law.com,404778
DAVID PHILLIPS & PARTNERS,BRN,1st FloorBB9 7JS,01282 606 443,,info@dpp-law.com, 01282 606 443,: http://www.dpp-law.com,441456
DAVID PHILLIPS & PARTNERS,BRN,130 High StreetHA3 7AL,020 8861 3800,,info@dpp-law.com, 020 8861 3332,: http://www.dpp-law.com,451001
DAVID PHILLIPS & PARTNERS,BRN,120 Cornwall BuildingsB3 3QR,0844 845 5525,,info@dpp-law.com, 0121 222 4164,: http://www.dpp-law.com,465526
DAVID PHILLIPS & PARTNERS,BRN,219A  Block PSE18 6PF,020 8597 5557,,info@dpp-law.com, 020 8599 3435,: http://www.dpp.law.com,497338
DAVID PHILLIPS & PARTNERS (INCORPORATING AZIZ PHILLIPS),BRN,5A High LaneM21 9DJ,O161 860 7354,,info@dpp-law.com, 0161 862 9580,: http://www.dpp-law.com,403572
DAVID PLAYFORD & COMPANY,HO,11 CabstandBS20 7HW,01275 840111,,davidplayford@btconnect.com, 01275 840 222,,207829
DAVID TEAGUE,HO,Plymouth Solicitors ChambersPL1 2AH,01752 600950,,operations@sra.org.uk, 01752 250770,,427818
DAVIES AND PARTNERS,HO,Rowan HouseGL4 3RT,01452 612345,,operations@sra.org.uk, 01452 611922,: http://www.daviesandpartners.com,68156
DAVIES AND PARTNERS,BRN,135 Aztec WestBS32 4UB,01454  619619,,operations@sra.org.uk, 01454 619696,: http://www.daviesandpartners.com,68158
DAVIES AND PARTNERS,BRN,Latham HouseB1 2AJ,0121 616 4450,,operations@sra.org.uk, 0121 643 3928,: http://www.daviesandpartners.com,68159
DAVIES ARNOLD COOPER LLP,HO,6-8 Bouverie StreetEC4Y 8DD,0207 936 2222,,DACLON@DAC.CO.UK, 0207 936 2020,: http://www.dac.co.uk,488319
DAVIES ARNOLD COOPER LLP,BRN,85 Gracechurch StreetEC3V 0AA,0207 936 2222,,daclon@dac.co.uk, 0207 936 2020,: http://www.dac.co.uk,488320
DAVIES ARNOLD COOPER LLP,BRN,60 Fountain StreetM2 2FE,0161 839 8396,,dacman@dac.co.uk, 0161 839 8309,: http://www.dac.co.uk,488325
DAVIES MORGANTE LAW LIMITED,HO,10 The BroadwaySW19 1RF,0208 944 7700,,clerks@dmlaw.co.uk, 0208 947 6717,: http://www.dmlaw.co.uk,465919
DAVIS & CO,HO,Misbourne HouseHP7 0DD,01494 787587,,info@davislaw.co.uk, 01494 787588,: http://www.davislaw.co.uk,372041
DAVISON FLYNN DUKE SOLICITORS,HO,The Antiques TriangleCH41 5DL,0151 513 3333,,paul.davison@dfd-solicitors.co.uk, 0151 513 3334,: http://www.dfb-solicitors.co.uk,417869
DAWSONS LLP,HO,2 New SquareWC2A 3RZ,020 7421 4800,,info@dawsonsllp.com, 020 7421 4848,: http://www.dawsonsllp.com,463454
DAYSPARKES,HO,Ground Floor (West)WC1R 5JQ,0207 242 8018,,operations@sra.org.uk, 0203 441 1345,: http://www.daysparkes.com,523720
DE BRIDGE SOLICITORS,HO,52 Lower Clapton RoadE5 0RN,020 8986 2581,,operations@sra.org.uk, 020 8986 2821,,523087
DE CRUZ SOLICITORS,HO,1 Green StreetW1K 6RG,0207 493 4265,,info@decruz.net, 0207 318 7247,,387890
DE SOYZA & FERNANDO,HO,68 Alleyn ParkSE21 8SF,0208 670 9918,,upali@desoyzaandfernando.co.uk, 0208 766 7805,,522155
DEBRIDGE SOLICITORS,HO,The Print HouseE8 3DL,0207 923 9655,,operations@sra.org.uk, 0207 923 9644,,448477
DENNINGS LLP,HO,CastlemillDY4 7UF,0121 226 3550,,operations@sra.org.uk, 0121 226 3551,: http://www.denningsllp.co.uk,472347
DENTON SOLICITORS,HO,113 George LaneE18 1AB,020 8989 7477,,info@dentonsolicitors.co.uk, 020 89899 022,: http://www.dentonsolicitors.co.uk,469153
DENTON WILDE SAPTE LLP,HO,One Fleet PlaceEC4M 7WS,020 7246 7000,,operations@sra.org.uk, 020 7246 7777,: http://www.dentonwildesapte.com,447523
DESMOND WRIGHT,HO,1094 Uxbridge RoadUB4 8QH,020 8561 4888,,deswright@btconnect.com, 020 8569 1814,,388398
DEVAS KEOGH JAMES,HO,2 King StreetPE1 1LT,01733 340666,,operations@sra.org.uk, 01733 312757,,77901
DEVEREAUX SOLICITORS,HO,Oldebourne HouseWC2A 1JE,020 7242 7766,,operations@sra.org.uk, 020 7242 8879,: http://www.devereaux-solicitors.com,428395
DEVONSHIRES,HO,30 Finsbury CircusEC2M 7DT,020 7628 7576,,info@devonshires.co.uk,  020 7256 7318,: http://www.devonshires.com,49857
DEWEY & LEBOEUF,HO,1 Minster CourtEC3R 7YL,020 7459 5000,,operations@sra.org.uk, 020 7459 5099,: http://www.deweyleboeuf.com,184760
DEXTER AND PORT LLP,HO,84 Oxford RoadRG1 7LJ,0118 955 1910,,operations@sra.org.uk, 0118 950 5371,,490217
DHANJU MCLEAN SOLICITORS,HO,DMA HouseSL0 9HW,01753 651 743,,info@dmasolicitors.co.uk, 01753 653 821,: http://www.dmasolicitors.co.uk,403092
DICKINSON DEES LLP,HO,St. Anns WharfNE1 3DX,0191 279 9000,,law@dickinson-dees.com, 0191 274 9100,: http://www.dickinson-dees.com,449247
DICKINSON DEES LLP,BRN,Camden HouseTS17 6QY,01642 631700,,law@dickinson-dees.com, 01642 631701,: http://www.dickinson-dees.com,449248
DICKINSON DEES LLP,BRN,One TrinityNE1 2HF,0191 279 9000,,law@dickinson-dees.com, 0191 279 9100,: http://www.dickinson-dees.com,449249
DICKINSON DEES LLP,BRN,The Chocolate WorksYO23 1DE,01904 612233,,law@dickinson-dees.com, 01904 464 350,: http://www.dickinson-dees.com,460169
DICKINSON DEES LLP,BRN,Gate HouseEC4M 7LG,0844 984 1500,,law@dickinson-dees.com, 0844 984 1501,: http://www.dickinson-dees.com,510450
DLA PIPER INTERNATIONAL LLP,HO,3 Noble StreetEC2V 7EE,08700 111 111,,operations@sra.org.uk,,,386993
DLA PIPER UK LLP,HO,3 Noble StreetEC2V 7EE,08700 111 111,,operations@sra.org.uk, 0207 796 6666,: http://www.dlapiper.com,401322
DLA PIPER UK LLP,BRN,1 St Paul's PlaceS1 2JX,08700 111 111,,operations@sra.org.uk,,,401419
DLA PIPER UK LLP,BRN,Princes ExchangeLS1 4BY,+44 (0) 8700 111 111,,operations@sra.org.uk, +44 (0) 113 369 2369,: http://www.dlapiper.com,401422
DLA PIPER UK LLP,BRN,Victoria Square HouseB2 4DL,08700 111 111,,operations@sra.org.uk, 0121 262 5794,: http://www.dlapiper.com,401423
DLA PIPER UK LLP,BRN,Seventh FloorL2 0NH,08700 111 111,,operations@sra.org.uk, 0151 236 9208,,401424
DLA PIPER UK LLP,BRN,101 Barbirolli SquareM2 3DL,08700 111 111,,operations@sra.org.uk, 0161 235 4111,,401425
DLA PIPER UK LLP,BRN,Carlton HouseM2 5PE,08700 111 111,,operations@sra.org.uk, 0161 235 4111,,401426
DMH STALLARD LLP,HO,100 Queens RoadBN1 3YB,01273 329833,,operations@sra.org.uk, 01273 735801,: http://www.dmhstallard.com,490576
DOBSONS,HO,Crown BuildingBR6 0TN,01689 886300,,mail@dobsons.org.uk, 0871 429 0048,,508335
DORSEY & WHITNEY (EUROPE) LLP,HO,21 Wilson StreetEC2M 2TD,020 7588 0800,,london@dorsey.com, 020 7588 0555,: http://www.dorsey.com,272016
DOUGLAS WEMYSS SOLICITORS LLP,HO,18 Friar LaneLE1 5RA,0116 2999 199,,operations@sra.org.uk, 0116 2999 099,: http://www.d-w-s.co.uk,420612
DOUGLAS WEMYSS SOLICITORS LLP,BRN,Dawson HouseLE11 3NW,01509 214216,,operations@sra.org.uk, 01509 219349,,420613
DOWNS SOLICITORS LLP,HO,156 High StreetRH4 1BQ,01306 5022 40,,c.shipley@downslaw.co.uk, 01306 5022 83,: http://www.downslaw.co.uk,446286
DOWNS SOLICITORS LLP,BRN,Concept HouseRH4 1BQ,01306  880110,,operations@sra.org.uk, 01306 502283,,446287
DOWNS SOLICITORS LLP,BRN,Constable CourtRH4 1BQ,01306 880110,,operations@sra.org.uk, 01306 502283,,446293
DOWNS SOLICITORS LLP,BRN,The TannersGU7 3HU,01483 861848,,operations@sra.org.uk, 01483 861856,,446294
DRAYCOTT  BROWNE SOLICITORS,HO,12 Oxford CourtM2 3WQ,0161 228 2244,,enquiries@draycottbrowne.co.uk, 0161 228 1144,: http://www.draycottbrowne.co.uk,282335
DRAYCOTT  BROWNE SOLICITORS,BRN,9a Ashton LaneM33 6WT,0161 228 2244,,enquiries@draycottbrowne.co.uk, 0161 912 0888,: http://www.draycottbrowne.co.uk,311699
DRYDENS LIMITED,HO,Shire HouseBD1 5HQ,01274 378 000,,operations@sra.org.uk, 01274 378 199,: http://www.drydenslaw.com,511996
DUNCAN LEWIS (SOLICITORS) LTD,HO,Viking HouseHA1 2AX,0207 923 4020,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.com,309586
DUNCAN LEWIS (SOLICITORS) LTD,BRN,1 Kingsland High StreetE8 2JS,0207 923 4020,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.co.uk,401577
DUNCAN LEWIS (SOLICITORS) LTD,BRN,Woburn HouseSW11 2PD,0207 923 4020,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.com,470857
DUNCAN LEWIS (SOLICITORS) LTD,BRN,Bedford HeightsMK41 7PH,0207 923 4020,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.com,492174
DUNCAN LEWIS (SOLICITORS) LTD,BRN,54 Goldhawk RoadW12 8HA,0208 7629030,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.co.uk,493811
DUNCAN LEWIS (SOLICITORS) LTD,BRN,1-5 Western RoadRM1 3LD,0207 923 4020,,admin@duncanlewis.com, 0207 923 3320,: http://www.duncanlewis.com,495379
DUNCAN LEWIS (SOLICITORS) LTD,BRN,182 New Cross RoadSE14 5AA,2070147359,,admin@duncanlewis.com, 0207 9233320,: http://www.duncanlewis.com,522684
DUNN & BAKER,HO,21 Southernhay EastEX1 1QQ,01392 285 000,,mail@dunnandbaker.co.uk, 01392 285001,: http://www.dunnandbaker.co.uk,49034
DW LAW,HO,Suite 2AL9 5ER,01707 261 177,,office@dwlaw.co.uk, 01707 265 089,: http://www.dwlaw.co.uk,438350
DWF LLP,HO,Centurion HouseM3 3AA,0161 603 5000,,enquiries@dwf.co.uk, 0161 603 5050,: http://www.dwf.co.uk,469044
DWF LLP,BRN,5 St Paul's SquareL3 9AE,0151 907 3000,,enqurires@dwf.co.uk, 0151 907 3030,: http://www.dwf.co.uk,469061
DWF LLP,BRN,Bridgewater PlaceLS11 5Dy,0113 261 6000,,enquiries@dwf.co.uk, 0870 094 0939,: http://www.dwf.co.uk,469063
DWF LLP,BRN,6 Winckley SquarePR1 3JJ,01772 556677,,enquiries@dwf.co.uk, 0870 166 7161,: http://www.dwf.co.uk,469064
DWF LLP,BRN,Capital HouseEC4N 7BL,0207 645 9500,,enquiries@dwf.co.uk, 0207 645 9501,: http://www.dwf.co.uk,489807
E&K SOLICITORS AND ESTATE AGENTS,HO,45 Wilmslow RoadM14 5TB,0870 382 1777,,info@eandksolicitors.co.uk, 0870 382 1778,: http://www.eandksolicitors.co.uk,424928
EAD SOLICITORS LLP,HO,Prospect HouseL3 4DB,0151 735 1000,,enquiry@eadsolicitors.co.uk, 0151 291 2500,: http://www.eadsolicitors.co.uk,487037
EAD SOLICITORS LLP,BRN,Old SwanL13 5XE,0151 735 1000,,enquiry@eadsolicitors.co.uk, 0151 220 2066,: http://www.eadsolicitors.co.uk,487492
EAD SOLICITORS LLP,BRN,125-131 Picton RoadL15 4LG,0151 735 1000,,enquiry@eadsolicitors.co.uk, 0151 734 4339,: http://www.eadsolicitors.co.uk,487494
EBR ATTRIDGE LLP,HO,23 Southampton PlaceWC1A 2BP,020 7842 8600,,operations@sra.org.uk, 0207 842 8601,: http://www.ebrattridge.com,468941
EBR ATTRIDGE LLP,BRN,196 Southwark Park RoadSE16 3RP,0207 231 5166,,operations@sra.org.uk, 0207 231 6014,: http://www.ebrattridge.com,468943
EBR ATTRIDGE LLP,BRN,436 High RoadN17 9JB,0208 808 0774,,operations@sra.org.uk, 0208 885 1462,: http://www.ebrattridge.com,468945
EBR ATTRIDGE LLP,BRN,1 Lavender SweepSW11 1DY,0207 228 7050,,operations@sra.org.uk, 0207 223 8241,: http://www.ebrattridge.com,468946
EBR ATTRIDGE LLP,BRN,17-19 High StreetNW10 4NE,0208 961 5146,,operations@sra.org.uk, 0208 961 0442,: http://www.ebrattridge.com,494522
EDDOWES PERRY AND OSBOURNE LIMITED,HO,46 High StreetB72 1UL,0121 686 9444,,info@e-p-o.co.uk, 0121 686 9333,: http://www.e-p-o.co.uk,484766
EDDOWES PERRY AND OSBOURNE LIMITED,BRN,44 High StreetB72 1UJ,0121 250 5047,,leigh.mounce@e-p-o.co.uk, 0121 250 2152,: http://www.e-p-o.co.uk,484767
EDDOWES PERRY AND OSBOURNE LIMITED,BRN,52 High StreetB72 1UQ,0121 686 9444,,operations@sra.org.uk, 0121 355 4508,: http://www.e-p-o.co.uk,484772
EDDOWES PERRY AND OSBOURNE LIMITED,BRN,26 Lichfield RoadB74 2NJ,0121 686 9666,,julian.berg@e-p-o.co.uk, 0121 686 9555,: http://www.e-p-o.co.uk,484774
EDWARD FAIL  NEALE & CO,BRN,15 Richmond RoadTW1 3AB,020 8561 4888,,info@efnlaw.co.uk, 020 8569 1814,,388399
EDWARD FAIL BRADSHAW & WATERSON,HO,402 Commercial RoadE1 0LG,07841 454170,,main@efbw.co.uk, 020 7790 2739,: http://www.efbw.co.uk,48121
EDWARD FAIL BRADSHAW & WATERSON,BRN,150 MinoriesEC3N 1LS,020 7264 2016,,main@efbw.co.uk, 020 7790 2739,: http://www.efbw.co.uk,329175
EDWARD HAYES LLP,HO,22 West StreetPO19 1HZ,01243 781431,,operations@sra.org.uk, 01243 536651,: http://www.edwardhayes.co.uk,499840
EDWARD HAYES LLP,BRN,236 Chichester RoadPO21 5BA,01243 822655,,operations@sra.org.uk, 01243 827647,: http://www.edwardhayes.co.uk,510357
EDWARD HAYES LLP,BRN,14 Shore RoadPO20 8DZ,01243 672124,,operations@sra.org.uk, 01243 672818,: http://www.edwardhayes.co.uk,510361
EDWARD HAYES LLP,BRN,11 Liverpool TerraceBN11 1TA,01903 215999,,operations@sra.org.uk, 01903 210310,: http://www.edwardhayes.co.uk,510362
EDWARD HAYES LLP,BRN,Temple Bar HouseEC4Y 1AA,020 7917 6197,,operations@sra.org.uk, 020 7917 6198,: http://www.edwardhayes.co.uk,510367
EDWARD HAYES LLP,BRN,Suite 5   Langstone GatePO9 1TR,02392 479872,,operations@sra.org.uk, 02392 479872,: http://www.edwardhayes.co.uk,510369
EDWARD OLIVER & BELLIS,HO,City HouseIG1 4EG,020 8553 1214,,crooney@eobellis.co.uk, 020 8478 7762,,58499
EDWARD OLIVER & BELLIS,BRN,19 Broadway MarketIG6 2JW,020 8500 4168,,operations@sra.org.uk, 020 8501 0021,,58502
EDWARDS DUTHIE,HO,9-15 York RoadIG1 3AD,020 8514 9000,,alinfo@edwardsduthie.com, 020 8514 9009,: http://www.edwardsduthie.com,332613
EDWARDS DUTHIE,BRN,292-294 Plashet GroveE6 1EE,020 8514 9000,,operations@sra.org.uk, 0208 552 1864,,332616
EDWARDS DUTHIE,BRN,517-519 Barking RoadE13 8PT,0208 471 8115,,operations@sra.org.uk, 020 8552 5705,,332629
EDWARDS DUTHIE,BRN,585 Barking RoadE13 9EZ,020 8514 9000,,operations@sra.org.uk, 020 8548 5471,,332648
EDWARDS DUTHIE,BRN,547-551 High Road LeytonstoneE11 4PB,,,operations@sra.org.uk,,,522989
EDWIN COE LLP,HO,2 Stone BuildingsWC2A 3TH,020 7691 4000,,law@edwincoe.com, 020 7691 4111,: http://www.edwincoe.com,462112
ELBORNE MITCHELL,HO,One America SquareEC3N 2PR,020 7320 9000,,lawyers@elbornes.com, 020 7320 9111,: http://www.elbornes.com,49247
ELC SOLICITORS,HO,Westgate HouseW5 1YY,020 8566 4045,,enquiries@elcsolicitors.com, 020 8566 4046,: http://www.elcsolicitors.com,189408
ELLIOTT BRIDGMAN LIMITED,HO,10 Court StreetTF7 5EB,01952 684 544,,mark@elliottbridgman.com, 01952 684 559,: http://www.elliottbridgman.com,497459
ELLIS JONES,HO,Sandbourne HouseBH8 9RU,01202 525333,,email@ellisjones.co.uk, 01202 535935,: http://www.ellisjones.co.uk,69601
ELMHIRST PARKER LLP,HO,17-19 Regent StreetS70 2HP,01226 282238,,barnsley@elmhirstparker.com, 01226 244153,: http://www.elmhirstparker.com,440335
ELMHIRST PARKER LLP,BRN,13 Finkle StreetYO8 4DT,01757 703602,,selby@elmhirstparker.com, 01757 708351,: http://www.elmhirstparker.com,440337
ELMHIRST PARKER LLP,BRN,The CrossLS25 6BH,01977 682219,,sherburn@elmhirstparker.com, 01977 684454,: http://www.elmhirstparker.com,440338
ELMHIRST PARKER LLP,BRN,Abbey YardYO8 4PX,01757 703895,,selby@elmhirstparker.com, 01757 213397,: http://www.elmhirstparker.com,498576
ELS INTERNATIONAL LAWYERS LLP,HO,12 Burleigh StreetWC2E 7PX,+44 (0) 207 212 9000,,london@elslegal.com, +44 (0) 207 212 9001,: http://www.elslegal.com,439547
EMERY HALIL AND BROWN SOLICITORS,HO,67 West Ham LaneE15 4PH,0208 519 5500,,info@ehbsolicitors.co.uk, 0208 555 9544,: http://www.ehbsolicitors.co.uk,360741
EMMERSONS SOLICITORS,HO,52 John StreetSR1 1QN,0191 567 6667,,operations@sra.org.uk, 0191 567 0808,: http://www.emmersons-solicitors.co.uk,282598
ENNON & CO SOLICITORS,HO,Unit 6N4 3JU,020 7281 2123,,info@ennonsolicitors.co.uk, 020 7281 2220,: http://www.ennonsolicitors.co.uk,402117
EQUITY LAW LIMITED,HO,8 Red Lion CourtTW3 1JS,0208 607 4660,,seema@mprsolicitors.co.uk, 0208 607 4661,: http://www.mprsolicitors.co.uk,497019
ERICA PEAT & DIABLE,HO,314 Mare StreetE8 1HA,020 8533 7999,,erica.peat@criminaldefencelondon.co.uk, 020 8533 9777,: http://www.criminaldefencelondon.co.uk,327186
EVERSHEDS LLP,HO,One Wood StreetEC2V 7WS,0845 497 9797,,operations@sra.org.uk, 0845 497 4919,: http://www.eversheds.com,383181
EVERSHEDS LLP,BRN,115 Colmore RowB3 3AL,0845 497 9797,,operations@sra.org.uk, 0845 497 1900,: http://www.eversheds.com,383182
EVERSHEDS LLP,BRN,Eversheds HouseM1 5ES,0845 497 9797,,operations@sra.org.uk, 0845 497 8888,: http://www.eversheds.com,383183
EVERSHEDS LLP,BRN,Bridgewater PlaceLS11 5DR,0845 497 9797,,operations@sra.org.uk, 0845 498 4994,: http://www.eversheds.com,383184
EVERSHEDS LLP,BRN,Central Square SouthNE1 3XX,0845 497 9797,,operations@sra.org.uk, 0845 497 6499,: http://www.eversheds.com,383187
EVERSHEDS LLP,BRN,1 Royal Standard PlaceNG1 6FZ,0845 497 9797,,operations@sra.org.uk, 0845 497 7477,: http://www.eversheds.com,383189
EVERSHEDS LLP,BRN,Franciscan HouseIP1 1UR,0845 497 9797,,operations@sra.org.uk, 0845 497 2431,: http://www.eversheds.com,383190
EVERSHEDS LLP,BRN,Kett HouseCB1 2JY,0845 497 9797,,operations@sra.org.uk, 0845 497 3777,: http://www.eversheds.com,383191
EWING HICKMAN & CLARK,HO,18 Brunswick PlaceSO15 2SZ,023 8033 2991,,info@ewingssolicitors.co.uk, 023 8033 0483,: http://www.ewingssolicitors.co.uk,49473
EWINGS & CO,HO,148 High StreetSE20 7EU,020 8778 1126,,operations@sra.org.uk, 020 8676 9662,: http://www.ewings.uk.com,49476
F W MEGGITT & CO,HO,2 Broad LaneS1 4BT,0114 272 7955,,helen@fwmeggitt.co.uk, 0114 275 6961,,53040
FABER & CO,HO,Ground FloorB4 6RG,0121 236 5751,,info@fabernadco.co.uk, 0121 233 1990,,48116
FADIGA & CO SOLICITORS,HO,2 The BoulevardSW17 7BW,0208 673 6699,,admin@fadiga.co.uk, 0208 6755 958,: http://www.fadigaandco.com,522565
FADIGA & CO SOLICITORS,BRN,13 Trinity RoadSW17 7SD,0208 672 8779,,operations@sra.org.uk, 0208 646 1983,: http://www.fadigaandco.com,523657
FADIGA & CO SOLICITORS,BRN,458 Romford RoadE7 8DF,0208 470 5656,,info@hardingslaw.com, 0208 470 5561,,523659
FAIRWEATHER WHILLIS & TOGHILL SOLICITORS,HO,Amersham MewsHP13 6NQ,01494 445545,,mail@fwtlaw.co.uk, 01494 444804,,369688
FARADAYS SOLICITORS LTD,HO,144a Seven Sisters RoadN7 7NS,0207 281 1001,,enquiries@faradayssolicitors.co.uk, 0207 281 1021,: http://www.faradayssolicitors.co.uk,520267
FARLEYS SOLICITORS LLP,HO,22-27 Richmond TerraceBB1 7AF,01254 606000,,info@farleys.com, 01254 583526,: http://www.farleys.com,484687
FARLEYS SOLICITORS LLP,BRN,1-2 Richmond TerraceBB1 7AT,01254 606 060,,info@farleys.com, 01254 693 941,: http://www.farleys.com,484959
FARLEYS SOLICITORS LLP,BRN,Unit C1 Hurstwood CourtBB1 2QU,01254 229800,,info@farleys.com, 01254 229830,: http://www.farleys.com,484961
FARLEYS SOLICITORS LLP,BRN,12-20 Willow StreetBB5 1LP,01254 606600,,info@farleys.com, 01254 235468,: http://www.farleys.com,484965
FARLEYS SOLICITORS LLP,BRN,1 North ParadeM3 2NH,0161 835 9513,,operations@sra.org.uk, 0161 839 9484,: http://www.farleys.com,484967
FARLEYS SOLICITORS LLP,BRN,Prudential BuildingsBB11 1HJ,01282 718000,,operations@sra.org.uk, 01282 718009,,484968
FARRELL MATTHEWS & WEIR,BRN,30-38 Hammersmith BroadwayW6 7AB,020 8741 1482,,partners@fmw-law.co.uk, 020 8741 0739,: http://www.fmw-law.co.uk,266268
FARRER & CO LLP,HO,66 Lincoln's Inn FieldsWC2A 3LH,0207 242 2022,,mss@farrer.co.uk, 0207 242 9899,: http://www.farrer.co.uk,447822
FERGUSON SOLICITORS,HO,11 Gough SquareEC4A 3DE,020 7822 2950,,admin@fergusonsolicitors.co.uk, 020 7822 2950/ 1,: http://www.fergusonsolicitors.co.uk,262801
FIELD FISHER WATERHOUSE,HO,35 Vine StreetEC3N 2AA,020 7861 4000,,info@ffwlaw.com, 020 7488 0084,: http://www.ffw.com,70229
FIELD FISHER WATERHOUSE LLP,HO,35 Vine StreetEC3N 2AA,0207 861 4000,,info@ffw.com, 0207 488 0084,: http://www.ffw.com,441075
FIELD FISHER WATERHOUSE LLP,BRN,27th FloorM1 4BD,0161 200 1700,,info@ffw.com, 0161 200 1777,: http://www.ffw.com,441086
FINERS STEPHENS INNOCENT LLP,HO,179-185 Great Portland StreetW1W 5LS,020 7323 4000,,marketing@fsilaw.co.uk, 020 7580 7069,,406212
FIRST DEFENCE,HO,30-32 Bromham RoadMK40 2QD,01234 263263,,gwasling@firstdefencesolicitors.co.uk, 01234 263239,: http://www.firstdefencesolicitors.co.uk,421296
FIRST DEFENCE,BRN,4 Sheep StreetNN8 1BL,01933 442666,,info@firstdefencesolicitors.co.uk, 01933 442707,,421297
FIRST DEFENCE,BRN,23 Albion PlaceNN1 1UD,01604 745474,,info@firstdefencesolicitors.co.uk, 01604 628816,: http://www.firstdefencesolicitors.co.uk,444414
FLADGATE LLP,HO,25 North RowW1K 6DJ,020 7323 4747,,fladgate@fladgate.com, 020 7629 4414,: http://www.fladgate.com,484783
FORBES,HO,Rutherford HouseBB1 8DD,01254 54374,,personnelrutherford@forbessolicitors.co.uk, 01254 52347,: http://www.forbessolicitors.co.uk,46408
FORBES,BRN,13-15 Cannon StreetBB5 1NJ,01254 872111,,graeme.parkinson@forbessolicitors.co.uk, 01254 399795,,46410
FORBES,BRN,73 NorthgateBB2 1AA,01254 580000,,mike.blacklidge@forbessolicitors.co.uk, 01254 682392,,46412
FORBES,BRN,Marsden HouseBB1 8DA,01254 662831,,martin.crabtree@forbessolicitors.co.uk, 01254 681104,,46413
FORBES,BRN,Ribchester HousePR1 2QL,01772 220022,,winston.mood@forbessolicitors.co.uk, 01772 220166,,261056
FORBES,BRN,1-3 Farrington StreetPR7 1DY,01257 260600,,steven.dawson@forbessolicitors.co.uk, 01257 260602,,271112
FORBES,BRN,Gothic HouseBB5 1LY,01254 872111,,petev.dugdale@forbessolicitors.co.uk, 01254 770535,,288751
FORBES,BRN,13-14 South ParadeLS1 5QS,0113 244 6688,,siobhan.handy@forbessolicitors.co.uk, 0113 243 4546,,344618
FORBES,BRN,9 Farrington StreetPR7 1DY,,,operations@sra.org.uk,,,462676
FORD & WARREN,HO,Westgate PointLS1 2AX,0113 243 6601,,clientmail@forwarn.com, 0113 242 0905,: http://www.forwarn.com,48427
FORESTERS SOLICITORS LIMITED,HO,155 Hoe StreetE17 3AL,0208 521 5999,,joemensah@foresterssolicitors.co.uk, 0208 521 5996,,507980
FOSTERS INCORPORATING DUNNE & CROME,BRN,17 Clapham Road SouthNR32 1PG,01502 573307,,lowestoft@fosters-solicitors.co.uk, 01502 500614,: http://www.fosters-solicitors.co.uk,467884
FPH LAW,HO,11-12 Hamilton SquareCH41 6AX,0151 647 4051,,enquiries@fphlaw.co.uk, 0151 666 1632,: http://www.fphlaw.co.uk,48151
FRANCIS WILKS & JONES LLP,HO,6 Coldbath SquareEC1R 5HL,0845 402 5466,,info@franciswilksandjones.co.uk, 0845 402 5477,: http://www.franciswilksandjones.co.uk,368938
FRANK BRAZELL AND PARTNERS LIMITED,HO,97 White Lion StreetN1 9PF,0207 689 8989,,reception@frankbrazell.co.uk, 0207 689 8988,: http://www.frankbrazell.co.uk,491128
FRANKLINS SOLICITORS LLP,BRN,Silbury CourtMK9 2LY,01908 660966,,mlf@franklins-sols.co.uk, 01908 690259,: http://www.franklins-sols.co.uk,382082
FRASER DAWBARNS,HO,1-3 York RowPE13 1EA,01945 461 456,,mail@fraserdawbarns.co.uk, 01945 461364,: http://www.fraserdawbarns.com,324642
FRASER DAWBARNS,BRN,Chequer HousePE30 1ES,01553 666 400,,mail@fraserdawbarns.co.uk, 01553 765226,: http://www.fraserdawbarns.com,324645
FRASER DAWBARNS,BRN,29 London RoadPE38 9AS,01366 383171,,mail@fraserdawbarns.co.uk, 01366 385 034,: http://www.fraserdawbarns.com,329624
FRASER DAWBARNS,BRN,42 High StreetPE15 9JR,01354 657372,,mail@fraserdawbarns.co.uk, 01354 656794,: http://www.fraserdawbarns.com,472357
FRAZER BRADSHAW,HO,248 High StreetBR1 1PG,0208 466 5588,,office@fblaw.co.uk, 0208 466 7220,: http://www.fblaw.co.uk,427288
FREEDMAN SHARMAN & CO,HO,Kenwood HouseWD6 1AG,0208 953 9111,,julian.sharman@freedman-sharman.co.uk, 0208 953 7478,,63320
